,name,similarity,xValue,yValue
0,人民,1.0,-1.3758364915847778,-0.7833806276321411
1,工人阶级,0.6962894797325134,-0.16707569360733032,1.3665207624435425
2,共产党人,0.6583607792854309,-0.8164019584655762,1.663568377494812
3,妇女,0.6270774602890015,-3.4786436557769775,1.0596848726272583
4,同胞,0.6165574193000793,-3.9656736850738525,-4.82649564743042
5,军民,0.5909667015075684,-3.007478713989258,-5.489050388336182
6,农民,0.5773710608482361,-3.596980571746826,0.6042455434799194
7,各族人民,0.5683706998825073,-2.740804433822632,-1.3791961669921875
8,青年,0.5681528449058533,-3.90777850151062,2.0725135803222656
9,爱国者,0.5630170106887817,-3.2318315505981445,-1.898180603981018
10,团结一致,0.5518239140510559,3.2357935905456543,0.13332438468933105
11,进步力量,0.5488913059234619,-0.28540927171707153,1.8106157779693604
12,紧密团结,0.5441035628318787,2.7709245681762695,1.0716021060943604
13,坚决,0.5439639091491699,2.444227695465088,-0.5528557896614075
14,解放,0.5406690239906311,2.1901631355285645,-2.754971742630005
15,正义事业,0.5356002449989319,1.0081897974014282,-0.6432160139083862
16,朋友,0.5310298800468445,-4.01934814453125,5.877676010131836
17,革命斗争,0.5213431119918823,0.9433754682540894,-1.098857045173645
18,英勇,0.5135672688484192,0.12437015771865845,-4.990789890289307
19,进步人士,0.5101116895675659,-1.497877597808838,0.24667111039161682
20,党和人民,0.5089130997657776,-0.6428545713424683,-0.38920316100120544
21,我们,0.5088555812835693,-1.2549705505371094,1.2521555423736572
22,团结,0.5085542798042297,4.740368843078613,4.044153213500977
23,保卫,0.5065451264381409,3.7791571617126465,-0.9130551218986511
24,支持,0.5046638250350952,3.6708998680114746,1.0072311162948608
25,永远,0.504517674446106,0.16388584673404694,0.42413899302482605
26,民族解放,0.5033762454986572,5.19829797744751,-2.315725564956665
27,兄弟,0.502768337726593,-0.8252506852149963,3.9508655071258545
28,和平力量,0.4983593821525574,0.6989424228668213,1.4415476322174072
29,期望,0.4952768087387085,-0.0685848593711853,1.0553829669952393
30,正义,0.4934350550174713,3.914203405380249,-1.046918511390686
